title,url,publish_date,source,category,title_clean,vader_score,vader_label
"IHSG ditutup turun 31,54 poin, dipicu sentimen negatif global - ANTARA News",https://news.google.com/rss/articles/CBMiowFBVV95cUxOSlRscXRHc1ZiRXVxQ2xhQjAxY2RoNVVEQWNFNEg4ckYzTHhkTDYyQ3lWQnVsdDZuN3ZZbXZzWXI1VjNNbzltS21WSW1tODV5S00taWxkTWtkby1tQkcybmJCUm50R1hteG5QUExIcXQ5eUFnaWJjUUVPMGJGVEhmWTlRc1VEbGlPX2FhX3MzUDliYTZZN2wzWlNJRzdnOG5nUWw0?oc=5,2019-08-12,ANTARA News,Ekonomi,ihsg ditutup turun poin dipicu sentimen negatif global news,0.0,neutral
"Perdagangan Saham Terakhir di 2019 Berada di Zona Merah, BEI: Kita Masih yang Terbaik di ASEAN - Voice of America Indonesia",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPeW5udDZUUDNOYnZPNGtnVEFDbVhvT1RuT0otQmlaMy1qUnd4cXFlLXZDMUl4cVlGYTBlWDMxMnI2cnZXV0t0VWVSeG51TDZlUzB3LWg3NWczdUJUbE5CTER6T25vUjdwYi1qSHlDeUFFUjNWc1FISkJYSjVIZy1jNFQ2bFppaVNPYjFjYkFMeVlvb2dyMUJuZkE3emhHamNUb2t5U1ZqRkl5LVgtcWkxYldrQjhaRkhFODRHbk41YnI0Y01RdTAtTjFSbTExeXRnd0HSAdQBQVVfeXFMTU8zbUVSbllSWUlfbkdZSk9LbWljUWtHNE85c3FRQzl2VDIzNkNXMzJHRV9OTmZDODJlSjEzVU1QOW5PZ1NYbjZlb0FkN0l0LWlBazQ3aFlRNVRtaXQ3aTNEMHhhOVp1U051d1ZQUUFxWkp6eWNYeXYyQnFsQXZza3NkWnJDTVJUcWRJdGVmcW52eGVLZGhPTkNTVW1fVHpEUmdBVWZ0WEl5b1lmQlFzWXNxaDRXcTlGZl8zY1pzQTVoUk5RWnlZcTc3ZV9nZWxGM1pYVE0?oc=5,2019-12-30,Voice of America Indonesia,Ekonomi,perdagangan saham terakhir berada zona merah bei masih terbaik asean voice of america indonesia,0.0,neutral
"IHSG Tertekan, Sabar! Ini Nasihat BEI Berinvestasi Saham - CNBC Indonesia",https://news.google.com/rss/articles/CBMitgFBVV95cUxQWl8xTzBhM2YwdGdWVVR1ZENBaHhaMWE1S2lMRWl5Y2VpQS1qZFF5Qmo4c082aTE3WU4yWHI0MFVGazBqQVJtUnJoZGc4bXo4OTQ5SUJ0Z1kyS3ZLUFEwa1U2SXNhc3dYa3FjaW5VVmJhbVZza0ZNNXBWSy1vV25GZW9PZkdDemYzS1NYSHYtTTdtaEdzakZlZkFwbldGbnItNmpmakdPZklCaDF6bGlRakxEWFExUQ?oc=5,2019-05-16,CNBC Indonesia,Ekonomi,ihsg tertekan sabar nasihat bei berinvestasi saham cnbc indonesia,0.0,neutral
"IHSG mampu menguat di bulan Oktober 2019, bagaimana prospek hingga akhir tahun ini? - kontan.co.id",https://news.google.com/rss/articles/CBMiuAFBVV95cUxObGdkamFrRGNLT1F2OEROZDQ1T2stSXhZdHpxbWQwaWt5UDNSNVVJMUV1c0Q5aDFFRzVDY0I1c2ZsanBpT29GMTdxZXN5aEQyRERIZWVYU09RTXJzZ3p4WGpES25zdFhSU2tYcnROTlBiRXZzcDZzekZCOGlacGM4RjFEc0dVSENzS0RZZ1kzOHFzVEtCMnJwTDNGXzd4Q2RXWjU4dUZkOVNfUEtlUERPWld3UEZ1SGND0gGwAUFVX3lxTE5WNmJPMElya2ljOWQwd3ZhX1p4dGFKSnRNNkJWVUsxam45bUVXT1IxeGxaclUxc3o1Qy1TNXM2QW52NHdmb3dTYWgwUkRJaUpYU25nNzRVWWYtazg2MXlVdEtGMVhDT3BVMDRyc2UzTlp5Z2pSQXNwQXA1bjhaT2tfWWZHMERpTGFTalJIbUZLQ1Z1VFFmcExfeTQ2aTU4UXBFUU5Vc2hpYnA3X1RwRkpY?oc=5,2019-11-03,kontan.co.id,Ekonomi,ihsg mampu menguat bulan oktober bagaimana prospek hingga akhir tahun kontancoid,0.0,neutral
"Penutupan IHSG Akhir Tahun, Harapan Sri Mulyani Pupus - Kompas.com",https://news.google.com/rss/articles/CBMipwFBVV95cUxOdmltNXlTY3ljc3BTWXJVdS1SdThZSHhIZm1XNENUN2hOeWJNR0N4Sm5zWGFYUHI3VHNia0poeWFfMl9GbU5DWU12YktsZjl1alBoOGt2U2dfY05uc2MtSlVFUzhGbnJpRWt3TmJKODVYWFpSdWxfV3JGYUFSZUtKb3B3ZzdsRW9mYk80WFlhQVk1SEJyRU9UbzJkRlVuaDdYREhSbENOcw?oc=5,2019-12-30,Kompas.com,Ekonomi,penutupan ihsg akhir tahun harapan sri mulyani pupus kompascom,0.0,neutral
"Asing Beli Bersih sampai Rp9 Triliun, IHSG Hanya Naik Tipis - CNN Indonesia",https://news.google.com/rss/articles/CBMivAFBVV95cUxOQnNjZkxwajJBdFhILU9SZFN2aVFDeVM2ZWZLeTRXclAtTS1kb0NISDRJMXRFQkRfYlZvMlZYYmNzQmg2cTVBSEtqQ0x4WlBkaGIybkJjMXBQTElUTG5ma2t2RjVUZ2RHLWxWeXFJTWJlTHo1VHo3dlpDLVpPcXU4T1hoQjZtaV9iVjRfajhSOUlsR2YzUk1BR2JKVHRkaTdSNW1vZGVnQnNfNEZrZ2FTTWdyQzFKM2hKd29jZw?oc=5,2019-06-28,CNN Indonesia,Ekonomi,asing beli bersih rp triliun ihsg naik tipis cnn indonesia,0.0,neutral
"IHSG Ditutup Hijau, Menguat ke Level 6.326 - kumparan.com - Kumparan.com",https://news.google.com/rss/articles/CBMikwFBVV95cUxQc1BHRHROWllRTVU5NkRQbHVxbE9Kb1pLVjhGLXBSMnllc0JLMV9leEFjUnJLeGkwTTV4N3R4ZXI3MGwxVUJHVExVR3FuX2x0enl4dEhaYy1oMnlscUFoY3ZGb0xxdjZRRGlYU1dpLU9sTk5vVi1vczZoUmF2XzN0QmtubGl6VXpaamtWWXUzejZidzTSAZsBQVVfeXFMT1lPLVprdVRPdGJtM0dQXzlYVnZ3ajJOQ0ZpWWJZc0pQdWNjdjhVcV9nVlh4WV9oNURKa2VDVVBlbGZqcGlRMEZqRFhRMU41VTZxOUlCeWNET08xMHZaQzZIX0hfeDVncDVqUHFDWVluVzc1ckNrdEp2Z2xiNHlOTUJMZ1Y0aFAzWnRKcVZ4MUhUNXExalNGV3ZsNDA?oc=5,2019-09-09,Kumparan.com,Ekonomi,ihsg ditutup hijau menguat level kumparancom kumparancom,0.0,neutral
"IHSG Ambruk, Ini Rekomendasi Lo Kheng Hong! - CNBC Indonesia",https://news.google.com/rss/articles/CBMipAFBVV95cUxOeUVkcVFPTk9DY3dpajl3WGtQcUVYTFZCT2dSblYtX3U4T1J3Q00tR21SZjNFSENBUVJhbVBCTTNzYTVaUGpsTG1Od3FIR24xM2c5RnBYWTA0eWFoZ1V4MlhURDBWQXk0TGJRSlkwNWQ1SHp5UDIzd2FHamhKd3pobE9GSU84SXFkeDZ4VGlTX1JkQ05jdlN4UFpuaDF3SkM2WkNOcQ?oc=5,2019-08-06,CNBC Indonesia,Ekonomi,ihsg ambruk rekomendasi lo kheng hong cnbc indonesia,0.0,neutral
"Sembilan Saham Hijau, Ini 10 Saham LQ45 dengan PER Terendah (8/10) - KONTAN",https://news.google.com/rss/articles/CBMinAFBVV95cUxNLXMyeHNnSU9jXzhET1RzdWt3WDJRbnNaaVNoSkh2aFJRb0pVaFdYV1J5Qkw4dFlyS1ZEV2VCT3lmU09FQ3ZsVEZjcF9RTFJZOXRRWllyaERTWlNTbW5xTlN4bzZuU0h6LURHNVl0QTFQNk1FZDg1Szc0RjFDb0N5cVhuNEhBRW5GQXZXMlZVN2dFbmUwN0VzR0xPaTI?oc=5,2019-10-08,KONTAN,Ekonomi,sembilan saham hijau saham lq per terendah kontan,0.0,neutral
"IHSG Kamis dibuka menguat 13,72 poin - ANTARA News",https://news.google.com/rss/articles/CBMihAFBVV95cUxOR1BwWURtQ1VUdmt4eThZX0dCTmlIZ2llVVZiT2pCcWVpVlp1cGNqTFd3UnlycUpXYTZEckstOUd4X0puQlZ6VDRZc0N4MWROYzNpbWJWbUNCNkxGOFlmTWJtWW03RmxiOE0xUTdVcnR4WHc4dERNV20wRVRHVkJaWHVMWVTSAYQBQVVfeXFMTkdQcFlEbUNVVHZreHk4WV9HQk5pSGdpZVVWYk9qQnFlaVZadXBjakxXd1J5cnFKV2E2RHJLLTlHeF9KbkJWelQ0WXNDeDFkTmMzaW1iVm1DQjZMRjhZZk1ibVltN0ZsYjhNMVE3VXJ0eFh3OHRETVdtMEVUR1ZCWlh1TFlU?oc=5,2019-04-04,ANTARA News,Ekonomi,ihsg kamis dibuka menguat poin news,0.0,neutral
